date,stars_cumulative
2022-02-13,1
2022-02-21,2
2022-03-04,4
2022-03-05,6
2022-03-11,7
2022-04-08,8
2022-06-02,9
2022-06-05,10
2022-08-14,11
2022-08-15,12
2022-09-19,13
2022-10-19,14
2022-10-22,15
2022-11-03,17
2022-11-04,19
2022-11-07,20
2022-11-10,21
2022-11-11,22
2022-11-14,23
2022-11-24,24
2022-11-29,25
2022-12-08,26
2023-01-07,27
2023-01-12,28
2023-01-13,30
2023-01-24,31
2023-03-15,32
2023-04-17,33
2023-04-18,35
2023-04-22,36
2023-04-27,37
2023-05-01,38
2023-05-02,39
2023-05-04,40
2023-05-07,41
2023-05-24,42
2023-06-06,43
2023-06-09,44
2023-06-16,45
2023-06-20,46
2023-06-22,47
2023-06-26,49
2023-06-30,50
2023-07-06,51
2023-07-07,52
2023-07-09,53
2023-07-13,54
2023-07-26,55
2023-07-28,56
2023-07-30,57
2023-08-02,58
2023-08-04,59
2023-08-14,60
2023-09-11,61
2023-09-13,62
2023-09-20,63
2023-09-22,64
2023-10-04,65
2023-10-12,66
2023-10-16,67
2023-10-24,68
2023-10-27,70
2023-10-30,71
2023-11-03,72
2023-11-10,73
2023-11-22,74
2023-12-07,75
2023-12-12,76
2023-12-14,77
2024-01-04,78
2024-01-18,79
2024-01-22,80
2024-01-24,82
2024-01-30,83
2024-02-23,84
2024-02-28,85
2024-03-06,87
2024-03-08,88
2024-04-12,89
2024-04-17,90
2024-04-23,91
2024-04-30,92
2024-05-02,93
2024-05-04,94
2024-06-06,95
2024-07-05,97
2024-07-09,98
2024-07-14,99
2024-07-15,101
2024-07-24,102
2024-08-01,103
2024-08-08,104
2024-08-13,105
2024-08-24,106
2024-09-05,107
2024-09-10,108
2024-09-19,109
2024-09-20,110
2024-10-02,111
2024-10-09,112
2024-10-10,113
2024-10-21,114
2024-10-24,115
2024-11-02,116
2024-11-08,117
2024-11-11,118
2024-11-19,119
2024-12-25,120
2024-12-29,121
2025-01-09,123
2025-02-03,124
2025-02-04,125
2025-02-17,126
2025-03-15,128
2025-04-07,129
2025-04-17,130
2025-04-18,131
2025-04-27,132
2025-04-30,133
2025-05-01,134
2025-05-08,135
2025-05-23,136
2025-06-03,137
2025-06-05,138
2025-06-10,139
2025-06-13,140
2025-06-27,141
2025-07-02,142
2025-07-10,143
2025-07-20,144
2025-07-28,145
2025-07-30,146
2025-08-27,147
2025-09-22,148
2025-11-08,150
2025-11-15,151
2025-11-27,152
2025-11-28,153
2025-12-04,154
2025-12-05,155
2025-12-19,156
2026-01-22,157
2026-01-24,158
2026-02-14,159
2026-02-24,160
2026-03-09,161
2026-03-10,162
2026-03-11,163
2026-03-14,164
2026-03-16,165
2026-03-24,166
2026-03-25,167
2026-03-31,168
2026-04-02,169
2026-04-14,170
2026-04-21,171
2026-04-26,173
2026-04-27,174
2026-05-03,175
2026-05-05,176
2026-05-25,177
2026-06-17,178
2026-06-19,179
2026-06-20,180
2026-06-22,181
2026-06-29,182
2026-07-01,183
2026-07-17,184
